Heart_Rate,Time
624,20:08:10
657,20:08:10
701,20:08:10
760,20:08:10
831,20:08:10
915,20:08:10
992,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
996,20:08:10
944,20:08:10
892,20:08:10
834,20:08:10
781,20:08:10
732,20:08:10
693,20:08:10
668,20:08:10
653,20:08:10
651,20:08:10
652,20:08:10
661,20:08:10
677,20:08:10
685,20:08:10
695,20:08:10
700,20:08:10
706,20:08:10
707,20:08:10
705,20:08:10
702,20:08:10
696,20:08:10
685,20:08:10
678,20:08:10
663,20:08:10
647,20:08:10
636,20:08:10
631,20:08:10
627,20:08:10
630,20:08:10
633,20:08:10
635,20:08:10
637,20:08:10
641,20:08:10
639,20:08:10
639,20:08:10
641,20:08:10
652,20:08:10
675,20:08:10
702,20:08:10
740,20:08:10
784,20:08:10
834,20:08:10
890,20:08:10
940,20:08:10
989,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
993,20:08:10
942,20:08:10
885,20:08:10
831,20:08:10
777,20:08:10
737,20:08:10
706,20:08:10
681,20:08:10
672,20:08:10
672,20:08:10
684,20:08:10
705,20:08:10
729,20:08:10
753,20:08:10
777,20:08:10
795,20:08:10
808,20:08:10
811,20:08:10
807,20:08:10
800,20:08:10
785,20:08:10
765,20:08:10
745,20:08:10
727,20:08:10
714,20:08:10
703,20:08:10
697,20:08:10
695,20:08:10
694,20:08:10
698,20:08:10
700,20:08:10
703,20:08:10
706,20:08:10
722,20:08:10
749,20:08:10
790,20:08:10
842,20:08:10
899,20:08:10
961,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
988,20:08:10
927,20:08:10
860,20:08:10
793,20:08:10
737,20:08:10
693,20:08:10
663,20:08:10
647,20:08:10
641,20:08:10
649,20:08:10
662,20:08:10
675,20:08:10
689,20:08:10
698,20:08:10
706,20:08:10
711,20:08:10
712,20:08:10
714,20:08:10
712,20:08:10
706,20:08:10
707,20:08:10
705,20:08:10
703,20:08:10
699,20:08:10
692,20:08:10
683,20:08:10
673,20:08:10
667,20:08:10
663,20:08:10
663,20:08:10
667,20:08:10
671,20:08:10
677,20:08:10
681,20:08:10
688,20:08:10
691,20:08:10
691,20:08:10
690,20:08:10
695,20:08:10
705,20:08:10
729,20:08:10
768,20:08:10
819,20:08:10
888,20:08:10
958,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
990,20:08:10
923,20:08:10
859,20:08:10
803,20:08:10
750,20:08:10
712,20:08:10
685,20:08:10
669,20:08:10
667,20:08:10
679,20:08:10
695,20:08:10
712,20:08:10
730,20:08:10
736,20:08:10
749,20:08:10
757,20:08:10
766,20:08:10
762,20:08:10
758,20:08:10
744,20:08:10
732,20:08:10
717,20:08:10
702,20:08:10
693,20:08:10
685,20:08:10
677,20:08:10
678,20:08:10
682,20:08:10
687,20:08:10
690,20:08:10
698,20:08:10
703,20:08:10
703,20:08:10
702,20:08:10
699,20:08:10
701,20:08:10
709,20:08:10
730,20:08:10
768,20:08:10
820,20:08:10
888,20:08:10
965,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1018,20:08:10
947,20:08:10
882,20:08:10
824,20:08:10
776,20:08:10
734,20:08:10
708,20:08:10
693,20:08:10
691,20:08:10
691,20:08:10
700,20:08:10
711,20:08:10
724,20:08:10
738,20:08:10
749,20:08:10
754,20:08:10
753,20:08:10
746,20:08:10
735,20:08:10
727,20:08:10
722,20:08:10
713,20:08:10
707,20:08:10
698,20:08:10
691,20:08:10
687,20:08:10
689,20:08:10
694,20:08:10
699,20:08:10
704,20:08:10
705,20:08:10
705,20:08:10
707,20:08:10
705,20:08:10
705,20:08:10
703,20:08:10
711,20:08:10
728,20:08:10
759,20:08:10
800,20:08:10
844,20:08:10
887,20:08:10
922,20:08:10
943,20:08:10
949,20:08:10
942,20:08:10
929,20:08:10
907,20:08:10
883,20:08:10
858,20:08:10
829,20:08:10
791,20:08:10
743,20:08:10
686,20:08:10
636,20:08:10
590,20:08:10
554,20:08:10
576,20:08:10
603,20:08:10
626,20:08:10
644,20:08:10
654,20:08:10
661,20:08:10
663,20:08:10
663,20:08:10
658,20:08:10
658,20:08:10
653,20:08:10
646,20:08:10
636,20:08:10
631,20:08:10
630,20:08:10
629,20:08:10
629,20:08:10
630,20:08:10
630,20:08:10
631,20:08:10
633,20:08:10
638,20:08:10
634,20:08:10
634,20:08:10
636,20:08:10
639,20:08:10
650,20:08:10
664,20:08:10
686,20:08:10
711,20:08:10
731,20:08:10
748,20:08:10
763,20:08:10
767,20:08:10
768,20:08:10
768,20:08:10
763,20:08:10
761,20:08:10
760,20:08:10
758,20:08:10
755,20:08:10
750,20:08:10
748,20:08:10
743,20:08:10
734,20:08:10
724,20:08:10
714,20:08:10
706,20:08:10
698,20:08:10
691,20:08:10
685,20:08:10
676,20:08:10
667,20:08:10
657,20:08:10
645,20:08:10
634,20:08:10
624,20:08:10
613,20:08:10
601,20:08:10
583,20:08:10
570,20:08:10
563,20:08:10
561,20:08:10
565,20:08:10
581,20:08:10
605,20:08:10
626,20:08:10
648,20:08:10
670,20:08:10
696,20:08:10
720,20:08:10
742,20:08:10
754,20:08:10
758,20:08:10
759,20:08:10
767,20:08:10
785,20:08:10
808,20:08:10
833,20:08:10
859,20:08:10
876,20:08:10
887,20:08:10
888,20:08:10
884,20:08:10
872,20:08:10
855,20:08:10
835,20:08:10
813,20:08:10
793,20:08:10
779,20:08:10
765,20:08:10
755,20:08:10
748,20:08:10
744,20:08:10
744,20:08:10
743,20:08:10
741,20:08:10
739,20:08:10
739,20:08:10
735,20:08:10
736,20:08:10
730,20:08:10
724,20:08:10
721,20:08:10
716,20:08:10
716,20:08:10
718,20:08:10
724,20:08:10
729,20:08:10
735,20:08:10
734,20:08:10
743,20:08:10
742,20:08:10
743,20:08:10
742,20:08:10
740,20:08:10
738,20:08:10
734,20:08:10
729,20:08:10
724,20:08:10
718,20:08:10
714,20:08:10
714,20:08:10
720,20:08:10
729,20:08:10
740,20:08:10
757,20:08:10
776,20:08:10
791,20:08:10
803,20:08:10
809,20:08:10
808,20:08:10
805,20:08:10
799,20:08:10
790,20:08:10
781,20:08:10
775,20:08:10
763,20:08:10
747,20:08:10
733,20:08:10
724,20:08:10
718,20:08:10
712,20:08:10
710,20:08:10
711,20:08:10
712,20:08:10
714,20:08:10
711,20:08:10
712,20:08:10
713,20:08:10
717,20:08:10
719,20:08:10
723,20:08:10
725,20:08:10
730,20:08:10
732,20:08:10
736,20:08:10
740,20:08:10
744,20:08:10
753,20:08:10
759,20:08:10
759,20:08:10
756,20:08:10
751,20:08:10
747,20:08:10
740,20:08:10
733,20:08:10
728,20:08:10
725,20:08:10
724,20:08:10
721,20:08:10
725,20:08:10
730,20:08:10
736,20:08:10
742,20:08:10
750,20:08:10
757,20:08:10
764,20:08:10
769,20:08:10
777,20:08:10
786,20:08:10
788,20:08:10
781,20:08:10
771,20:08:10
756,20:08:10
745,20:08:10
732,20:08:10
726,20:08:10
725,20:08:10
722,20:08:10
724,20:08:10
728,20:08:10
735,20:08:10
739,20:08:10
743,20:08:10
746,20:08:10
750,20:08:10
753,20:08:10
754,20:08:10
753,20:08:10
752,20:08:10
751,20:08:10
755,20:08:10
755,20:08:10
762,20:08:10
760,20:08:10
760,20:08:10
759,20:08:10
755,20:08:10
753,20:08:10
754,20:08:10
753,20:08:10
753,20:08:10
748,20:08:10
745,20:08:10
744,20:08:10
741,20:08:10
736,20:08:10
737,20:08:10
738,20:08:10
738,20:08:10
743,20:08:10
743,20:08:10
745,20:08:10
750,20:08:10
759,20:08:10
767,20:08:10
775,20:08:10
785,20:08:10
793,20:08:10
801,20:08:10
803,20:08:10
801,20:08:10
797,20:08:10
791,20:08:10
786,20:08:10
778,20:08:10
770,20:08:10
756,20:08:10
745,20:08:10
736,20:08:10
732,20:08:10
727,20:08:10
723,20:08:10
721,20:08:10
720,20:08:10
719,20:08:10
718,20:08:10
721,20:08:10
728,20:08:10
735,20:08:10
741,20:08:10
744,20:08:10
747,20:08:10
746,20:08:10
747,20:08:10
747,20:08:10
747,20:08:10
747,20:08:10
746,20:08:10
745,20:08:10
744,20:08:10
743,20:08:10
743,20:08:10
742,20:08:10
741,20:08:10
743,20:08:10
740,20:08:10
740,20:08:10
742,20:08:10
742,20:08:10
742,20:08:10
743,20:08:10
742,20:08:10
744,20:08:10
753,20:08:10
765,20:08:10
776,20:08:10
786,20:08:10
791,20:08:10
793,20:08:10
793,20:08:10
790,20:08:10
785,20:08:10
781,20:08:10
776,20:08:10
772,20:08:10
766,20:08:10
761,20:08:10
757,20:08:10
755,20:08:10
753,20:08:10
757,20:08:10
753,20:08:10
756,20:08:10
753,20:08:10
756,20:08:10
760,20:08:10
762,20:08:10
764,20:08:10
765,20:08:10
761,20:08:10
762,20:08:10
762,20:08:10
761,20:08:10
761,20:08:10
761,20:08:10
758,20:08:10
753,20:08:10
751,20:08:10
750,20:08:10
752,20:08:10
755,20:08:10
761,20:08:10
762,20:08:10
764,20:08:10
762,20:08:10
759,20:08:10
758,20:08:10
755,20:08:10
754,20:08:10
751,20:08:10
751,20:08:10
750,20:08:10
754,20:08:10
757,20:08:10
768,20:08:10
777,20:08:10
787,20:08:10
795,20:08:10
805,20:08:10
809,20:08:10
812,20:08:10
814,20:08:10
809,20:08:10
806,20:08:10
802,20:08:10
802,20:08:10
798,20:08:10
793,20:08:10
789,20:08:10
779,20:08:10
772,20:08:10
767,20:08:10
763,20:08:10
765,20:08:10
763,20:08:10
767,20:08:10
771,20:08:10
776,20:08:10
778,20:08:10
783,20:08:10
785,20:08:10
788,20:08:10
793,20:08:10
791,20:08:10
788,20:08:10
785,20:08:10
777,20:08:10
775,20:08:10
774,20:08:10
774,20:08:10
775,20:08:10
776,20:08:10
779,20:08:10
783,20:08:10
783,20:08:10
782,20:08:10
781,20:08:10
774,20:08:10
768,20:08:10
762,20:08:10
756,20:08:10
756,20:08:10
756,20:08:10
757,20:08:10
758,20:08:10
758,20:08:10
762,20:08:10
769,20:08:10
781,20:08:10
794,20:08:10
810,20:08:10
820,20:08:10
828,20:08:10
833,20:08:10
840,20:08:10
840,20:08:10
837,20:08:10
831,20:08:10
825,20:08:10
819,20:08:10
814,20:08:10
809,20:08:10
803,20:08:10
795,20:08:10
788,20:08:10
780,20:08:10
780,20:08:10
781,20:08:10
783,20:08:10
790,20:08:10
796,20:08:10
800,20:08:10
800,20:08:10
800,20:08:10
800,20:08:10
798,20:08:10
797,20:08:10
792,20:08:10
787,20:08:10
782,20:08:10
782,20:08:10
780,20:08:10
779,20:08:10
779,20:08:10
777,20:08:10
772,20:08:10
766,20:08:10
761,20:08:10
758,20:08:10
759,20:08:10
764,20:08:10
767,20:08:10
770,20:08:10
773,20:08:10
774,20:08:10
773,20:08:10
771,20:08:10
768,20:08:10
768,20:08:10
769,20:08:10
778,20:08:10
788,20:08:10
805,20:08:10
829,20:08:10
854,20:08:10
877,20:08:10
894,20:08:10
903,20:08:10
905,20:08:10
899,20:08:10
890,20:08:10
876,20:08:10
865,20:08:10
854,20:08:10
840,20:08:10
826,20:08:10
811,20:08:10
802,20:08:10
795,20:08:10
791,20:08:10
788,20:08:10
787,20:08:10
790,20:08:10
792,20:08:10
795,20:08:10
800,20:08:10
806,20:08:10
809,20:08:10
812,20:08:10
811,20:08:10
810,20:08:10
804,20:08:10
802,20:08:10
798,20:08:10
791,20:08:10
784,20:08:10
780,20:08:10
774,20:08:10
769,20:08:10
767,20:08:10
767,20:08:10
770,20:08:10
774,20:08:10
780,20:08:10
784,20:08:10
786,20:08:10
788,20:08:10
789,20:08:10
784,20:08:10
780,20:08:10
776,20:08:10
772,20:08:10
772,20:08:10
778,20:08:10
796,20:08:10
824,20:08:10
857,20:08:10
891,20:08:10
924,20:08:10
948,20:08:10
961,20:08:10
967,20:08:10
963,20:08:10
955,20:08:10
941,20:08:10
925,20:08:10
904,20:08:10
887,20:08:10
865,20:08:10
846,20:08:10
829,20:08:10
812,20:08:10
800,20:08:10
793,20:08:10
796,20:08:10
799,20:08:10
807,20:08:10
815,20:08:10
822,20:08:10
825,20:08:10
826,20:08:10
827,20:08:10
829,20:08:10
826,20:08:10
821,20:08:10
816,20:08:10
810,20:08:10
806,20:08:10
801,20:08:10
797,20:08:10
794,20:08:10
789,20:08:10
783,20:08:10
778,20:08:10
774,20:08:10
772,20:08:10
772,20:08:10
772,20:08:10
771,20:08:10
770,20:08:10
773,20:08:10
779,20:08:10
784,20:08:10
787,20:08:10
788,20:08:10
793,20:08:10
800,20:08:10
816,20:08:10
845,20:08:10
885,20:08:10
929,20:08:10
969,20:08:10
1002,20:08:10
1023,20:08:10
1023,20:08:10
1019,20:08:10
1000,20:08:10
976,20:08:10
952,20:08:10
928,20:08:10
900,20:08:10
875,20:08:10
849,20:08:10
829,20:08:10
820,20:08:10
814,20:08:10
815,20:08:10
821,20:08:10
830,20:08:10
840,20:08:10
851,20:08:10
860,20:08:10
867,20:08:10
869,20:08:10
868,20:08:10
861,20:08:10
854,20:08:10
844,20:08:10
829,20:08:10
809,20:08:10
790,20:08:10
779,20:08:10
774,20:08:10
767,20:08:10
762,20:08:10
757,20:08:10
757,20:08:10
761,20:08:10
762,20:08:10
765,20:08:10
768,20:08:10
769,20:08:10
774,20:08:10
777,20:08:10
780,20:08:10
777,20:08:10
773,20:08:10
773,20:08:10
780,20:08:10
799,20:08:10
830,20:08:10
875,20:08:10
926,20:08:10
977,20:08:10
1021,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
999,20:08:10
956,20:08:10
914,20:08:10
875,20:08:10
838,20:08:10
807,20:08:10
783,20:08:10
769,20:08:10
763,20:08:10
768,20:08:10
777,20:08:10
788,20:08:10
802,20:08:10
817,20:08:10
829,20:08:10
835,20:08:10
839,20:08:10
838,20:08:10
832,20:08:10
826,20:08:10
818,20:08:10
814,20:08:10
811,20:08:10
804,20:08:10
798,20:08:10
790,20:08:10
785,20:08:10
776,20:08:10
770,20:08:10
763,20:08:10
758,20:08:10
757,20:08:10
754,20:08:10
748,20:08:10
745,20:08:10
743,20:08:10
739,20:08:10
741,20:08:10
749,20:08:10
774,20:08:10
809,20:08:10
854,20:08:10
904,20:08:10
951,20:08:10
989,20:08:10
1011,20:08:10
1017,20:08:10
1009,20:08:10
983,20:08:10
951,20:08:10
917,20:08:10
885,20:08:10
852,20:08:10
817,20:08:10
785,20:08:10
760,20:08:10
741,20:08:10
728,20:08:10
726,20:08:10
733,20:08:10
741,20:08:10
753,20:08:10
767,20:08:10
779,20:08:10
785,20:08:10
787,20:08:10
789,20:08:10
792,20:08:10
787,20:08:10
785,20:08:10
777,20:08:10
772,20:08:10
768,20:08:10
764,20:08:10
763,20:08:10
761,20:08:10
759,20:08:10
758,20:08:10
756,20:08:10
752,20:08:10
750,20:08:10
750,20:08:10
750,20:08:10
747,20:08:10
741,20:08:10
738,20:08:10
740,20:08:10
740,20:08:10
744,20:08:10
750,20:08:10
765,20:08:10
788,20:08:10
823,20:08:10
873,20:08:10
931,20:08:10
987,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
988,20:08:10
952,20:08:10
915,20:08:10
878,20:08:10
844,20:08:10
817,20:08:10
795,20:08:10
781,20:08:10
775,20:08:10
770,20:08:10
774,20:08:10
781,20:08:10
796,20:08:10
809,20:08:10
824,20:08:10
835,20:08:10
843,20:08:10
845,20:08:10
841,20:08:10
837,20:08:10
826,20:08:10
814,20:08:10
800,20:08:10
789,20:08:10
781,20:08:10
773,20:08:10
765,20:08:10
761,20:08:10
760,20:08:10
758,20:08:10
754,20:08:10
750,20:08:10
745,20:08:10
744,20:08:10
746,20:08:10
750,20:08:10
756,20:08:10
759,20:08:10
758,20:08:10
758,20:08:10
755,20:08:10
769,20:08:10
800,20:08:10
853,20:08:10
922,20:08:10
995,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1001,20:08:10
954,20:08:10
911,20:08:10
874,20:08:10
840,20:08:10
813,20:08:10
795,20:08:10
788,20:08:10
788,20:08:10
798,20:08:10
806,20:08:10
816,20:08:10
824,20:08:10
832,20:08:10
836,20:08:10
834,20:08:10
825,20:08:10
815,20:08:10
805,20:08:10
797,20:08:10
783,20:08:10
769,20:08:10
756,20:08:10
749,20:08:10
743,20:08:10
740,20:08:10
740,20:08:10
743,20:08:10
744,20:08:10
746,20:08:10
750,20:08:10
751,20:08:10
753,20:08:11
753,20:08:11
752,20:08:11
750,20:08:11
745,20:08:11
736,20:08:11
741,20:08:11
754,20:08:11
797,20:08:11
857,20:08:11
935,20:08:11
1020,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1021,20:08:11
965,20:08:11
912,20:08:11
863,20:08:11
825,20:08:11
799,20:08:11
782,20:08:11
776,20:08:11
780,20:08:11
792,20:08:11
805,20:08:11
817,20:08:11
826,20:08:11
827,20:08:11
823,20:08:11
815,20:08:11
806,20:08:11
794,20:08:11
779,20:08:11
761,20:08:11
742,20:08:11
730,20:08:11
725,20:08:11
719,20:08:11
718,20:08:11
717,20:08:11
714,20:08:11
714,20:08:11
718,20:08:11
725,20:08:11
726,20:08:11
725,20:08:11
728,20:08:11
731,20:08:11
729,20:08:11
731,20:08:11
742,20:08:11
770,20:08:11
822,20:08:11
888,20:08:11
972,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1020,20:08:11
948,20:08:11
887,20:08:11
832,20:08:11
785,20:08:11
748,20:08:11
720,20:08:11
711,20:08:11
710,20:08:11
722,20:08:11
737,20:08:11
757,20:08:11
775,20:08:11
788,20:08:11
797,20:08:11
800,20:08:11
796,20:08:11
787,20:08:11
778,20:08:11
768,20:08:11
758,20:08:11
748,20:08:11
737,20:08:11
727,20:08:11
716,20:08:11
701,20:08:11
694,20:08:11
691,20:08:11
688,20:08:11
689,20:08:11
690,20:08:11
693,20:08:11
697,20:08:11
702,20:08:11
708,20:08:11
712,20:08:11
718,20:08:11
731,20:08:11
761,20:08:11
811,20:08:11
885,20:08:11
977,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
976,20:08:11
912,20:08:11
857,20:08:11
807,20:08:11
774,20:08:11
750,20:08:11
747,20:08:11
750,20:08:11
757,20:08:11
763,20:08:11
764,20:08:11
766,20:08:11
769,20:08:11
767,20:08:11
771,20:08:11
770,20:08:11
766,20:08:11
759,20:08:11
751,20:08:11
734,20:08:11
719,20:08:11
705,20:08:11
691,20:08:11
680,20:08:11
671,20:08:11
668,20:08:11
664,20:08:11
662,20:08:11
663,20:08:11
666,20:08:11
667,20:08:11
673,20:08:11
678,20:08:11
680,20:08:11
683,20:08:11
686,20:08:11
695,20:08:11
725,20:08:11
784,20:08:11
866,20:08:11
965,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1020,20:08:11
946,20:08:11
879,20:08:11
816,20:08:11
761,20:08:11
726,20:08:11
701,20:08:11
689,20:08:11
691,20:08:11
704,20:08:11
716,20:08:11
728,20:08:11
742,20:08:11
751,20:08:11
755,20:08:11
751,20:08:11
740,20:08:11
725,20:08:11
708,20:08:11
691,20:08:11
672,20:08:11
656,20:08:11
640,20:08:11
633,20:08:11
628,20:08:11
626,20:08:11
628,20:08:11
630,20:08:11
637,20:08:11
644,20:08:11
652,20:08:11
657,20:08:11
665,20:08:11
668,20:08:11
672,20:08:11
679,20:08:11
709,20:08:11
765,20:08:11
850,20:08:11
955,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
935,20:08:11
861,20:08:11
797,20:08:11
744,20:08:11
701,20:08:11
675,20:08:11
669,20:08:11
675,20:08:11
691,20:08:11
715,20:08:11
743,20:08:11
773,20:08:11
791,20:08:11
795,20:08:11
793,20:08:11
787,20:08:11
775,20:08:11
755,20:08:11
735,20:08:11
714,20:08:11
694,20:08:11
676,20:08:11
665,20:08:11
661,20:08:11
654,20:08:11
649,20:08:11
649,20:08:11
653,20:08:11
659,20:08:11
668,20:08:11
674,20:08:11
677,20:08:11
685,20:08:11
707,20:08:11
755,20:08:11
832,20:08:11
934,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
928,20:08:11
837,20:08:11
756,20:08:11
697,20:08:11
653,20:08:11
628,20:08:11
621,20:08:11
625,20:08:11
642,20:08:11
669,20:08:11
698,20:08:11
723,20:08:11
741,20:08:11
752,20:08:11
756,20:08:11
758,20:08:11
749,20:08:11
732,20:08:11
714,20:08:11
695,20:08:11
679,20:08:11
666,20:08:11
655,20:08:11
645,20:08:11
641,20:08:11
643,20:08:11
645,20:08:11
648,20:08:11
652,20:08:11
655,20:08:11
658,20:08:11
658,20:08:11
654,20:08:11
658,20:08:11
667,20:08:11
694,20:08:11
755,20:08:11
849,20:08:11
974,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
970,20:08:11
871,20:08:11
783,20:08:11
715,20:08:11
663,20:08:11
625,20:08:11
607,20:08:11
615,20:08:11
637,20:08:11
668,20:08:11
705,20:08:11
742,20:08:11
770,20:08:11
788,20:08:11
793,20:08:11
784,20:08:11
766,20:08:11
744,20:08:11
721,20:08:11
701,20:08:11
683,20:08:11
661,20:08:11
640,20:08:11
623,20:08:11
611,20:08:11
603,20:08:11
602,20:08:11
600,20:08:11
602,20:08:11
605,20:08:11
607,20:08:11
607,20:08:11
604,20:08:11
602,20:08:11
605,20:08:11
620,20:08:11
659,20:08:11
726,20:08:11
824,20:08:11
955,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
941,20:08:11
848,20:08:11
766,20:08:11
702,20:08:11
654,20:08:11
630,20:08:11
625,20:08:11
637,20:08:11
658,20:08:11
683,20:08:11
704,20:08:11
717,20:08:11
723,20:08:11
724,20:08:11
723,20:08:11
719,20:08:11
709,20:08:11
691,20:08:11
673,20:08:11
651,20:08:11
630,20:08:11
614,20:08:11
601,20:08:11
589,20:08:11
